"date","bus","rail_boardings","total_rides"
2023-08-07,"467,465","346,627","814,092"
2023-08-08,"508,824","388,916","897,740"
2023-08-09,"501,770","394,563","896,333"
2023-08-10,"506,343","383,545","889,888"
2023-08-11,"472,150","370,307","842,457"
2023-08-12,"370,464","315,090","685,554"
2023-08-13,"279,218","225,085","504,303"
2023-08-14,"408,865","290,559","699,424"
2023-08-15,"500,013","382,517","882,530"
2023-08-16,"518,485","390,193","908,678"
2023-08-17,"484,256","366,327","850,583"
2023-08-18,"490,626","366,654","857,280"
2023-08-19,"381,458","303,336","684,794"
2023-08-20,"296,344","239,159","535,503"
2023-08-21,"551,302","343,866","895,168"
2023-08-22,"564,653","390,141","954,794"
2023-08-23,"531,763","365,111","896,874"
2023-08-24,"501,750","365,055","866,805"
2023-08-25,"553,276","375,055","928,331"
2023-08-26,"361,538","273,589","635,127"
2023-08-27,"289,983","218,533","508,516"
2023-08-28,"567,171","371,199","938,370"
2023-08-29,"585,643","418,817","1,004,460"
2023-08-30,"589,901","420,080","1,009,981"
2023-08-31,"579,376","413,083","992,459"
2023-09-01,"585,674","386,812","972,486"
2023-09-02,"384,728","291,029","675,757"
2023-09-03,"309,758","248,524","558,282"
2023-09-04,"293,106","220,411","513,517"
2023-09-05,"586,167","409,043","995,210"
2023-09-06,"578,259","425,429","1,003,688"
2023-09-07,"597,711","442,432","1,040,143"
2023-09-08,"555,213","397,332","952,545"
2023-09-09,"385,592","323,033","708,625"
2023-09-10,"297,306","247,808","545,114"
2023-09-11,"504,742","356,445","861,187"
2023-09-12,"603,242","432,403","1,035,645"
2023-09-13,"593,103","431,950","1,025,053"
2023-09-14,"587,439","437,320","1,024,759"
2023-09-15,"566,708","432,176","998,884"
2023-09-16,"352,049","340,865","692,914"
2023-09-17,"252,015","219,746","471,761"
2023-09-18,"560,810","382,031","942,841"
2023-09-19,"555,949","432,367","988,316"
2023-09-20,"599,268","447,165","1,046,433"
2023-09-21,"581,536","449,600","1,031,136"
2023-09-22,"525,718","400,937","926,655"
2023-09-23,"381,816","312,772","694,588"
2023-09-24,"290,336","234,578","524,914"
2023-09-25,"552,311","370,891","923,202"
2023-09-26,"565,172","416,619","981,791"
2023-09-27,"583,749","427,267","1,011,016"
2023-09-28,"597,723","437,574","1,035,297"
2023-09-29,"578,054","401,168","979,222"
2023-09-30,"391,173","301,206","692,379"
2023-10-01,"303,953","229,368","533,321"
2023-10-02,"576,630","378,334","954,964"
2023-10-03,"619,488","434,467","1,053,955"
2023-10-04,"610,623","445,787","1,056,410"
2023-10-05,"584,937","447,707","1,032,644"
2023-10-06,"559,485","428,321","987,806"
2023-10-07,"386,990","334,134","721,124"
2023-10-08,"253,021","403,385","656,406"
2023-10-09,"452,540","366,694","819,234"
2023-10-10,"601,129","443,465","1,044,594"
2023-10-11,"598,019","442,594","1,040,613"
2023-10-12,"567,954","433,731","1,001,685"
2023-10-13,"519,462","373,986","893,448"
2023-10-14,"338,320","266,624","604,944"
2023-10-15,"293,753","222,768","516,521"
2023-10-16,"551,971","374,520","926,491"
2023-10-17,"587,256","440,241","1,027,497"
2023-10-18,"595,182","439,266","1,034,448"
2023-10-19,"579,587","433,975","1,013,562"
